PEBKAC,ITIS,AFS,GROUNDFISH,NESPP3
ALB,172419,ALBACORE,FALSE,470
ALBACORE,172419,ALBACORE,FALSE,470
ALEWIFE,161706,ALEWIFE,FALSE,
ALWF,161706,ALEWIFE,FALSE,
AMERICANEEL,161127,AMERICAN EEL,FALSE,
LOB,97314,AMERICAN LOBSTER,FALSE,727
LOBSTER,97314,AMERICAN LOBSTER,FALSE,727
American plaice flounder,172877,AMERICAN PLAICE,TRUE,124
American plaice,172877,AMERICAN PLAICE,TRUE,124
AMERICAN PLAICE(AMERICAN PLAICE),172877,AMERICAN PLAICE,TRUE,124
American Plaice(FLDAB),172877,AMERICAN PLAICE,TRUE,124
FLDAB,172877,AMERICAN PLAICE,TRUE,124
FLOUNDER AMERICAN PLAICE,172877,AMERICAN PLAICE,TRUE,124
FLOUNDERAM. PLAICE,172877,AMERICAN PLAICE,TRUE,124
PLAICE,172877,AMERICAN PLAICE,TRUE,124
SHAD,161702,AMERICAN SHAD,FALSE,
SHAD,161702,AMERICAN SHAD,FALSE,
ANCH,161826,ANCHOVIES,FALSE,
ANCHOVY,161826,ANCHOVIES,FALSE,
Atlantic cod,164712,ATLANTIC COD,TRUE,81
Atlantic Cod(Atlantic cod),164712,ATLANTIC COD,TRUE,81
Atlantic Cod(COD),164712,ATLANTIC COD,TRUE,81
COD,164712,ATLANTIC COD,TRUE,81
COD ATLANTIC,164712,ATLANTIC COD,TRUE,81
Atlantic halibut,172933,ATLANTIC HALIBUT,TRUE,159
Atlantic Halibut(Atlantic halibut),172933,ATLANTIC HALIBUT,TRUE,159
Atlantic Halibut(HAL),172933,ATLANTIC HALIBUT,TRUE,159
HAL,172933,ATLANTIC HALIBUT,TRUE,159
HALIBUT,172933,ATLANTIC HALIBUT,TRUE,159
HALIBUT ATLANTIC,172933,ATLANTIC HALIBUT,TRUE,159
HALIBUTATLANTIC,172933,ATLANTIC HALIBUT,TRUE,159
HERR,161722,ATLANTIC HERRING,FALSE,168
HERRING,161722,ATLANTIC HERRING,FALSE,168
HERRINGATLANTIC,161722,ATLANTIC HERRING,FALSE,168
MACKEREL,172414,ATLANTIC MACKEREL,FALSE,
MACKERELATLANTIC,172414,ATLANTIC MACKEREL,FALSE,
STURGEON_ATL,161070,ATLANTIC STURGEON,FALSE,
Atlantic wolffish,171341,ATLANTIC WOLFFISH,TRUE,512
Atlantic Wolffish(Atlantic wolffish),171341,ATLANTIC WOLFFISH,TRUE,512
Atlantic Wolffish(CAT),171341,ATLANTIC WOLFFISH,TRUE,512
CAT,171341,ATLANTIC WOLFFISH,TRUE,512
