eVTR_StockAbbreviation,Stock,ITIS
CODGBE,ATLANTIC COD GEORGES BANK EAST,81
CODGBW,ATLANTIC COD GEORGES BANK WEST,81
CODGMSS,ATLANTIC COD GULF OF MAINE,81
FLWGB,WINTER FLOUNDER GEORGES BANK,120
FLWSNEMA,WINTER FLOUNDER SOUTHERN NEW ENGLAND AND MID ATLANTIC,120
HADGBE,HADDOCK GEORGES BANK EAST,147
HADGBW,HADDOCK GEORGES BANK WEST,147
HADGM,HADDOCK GULF OF MAINE,147
HALGMMA,ATLANTIC HALIBUT ALL,159
HKWGMMA,WHITE HAKE ALL,153
OTHER - ANG,GOOSEFISH ALL,11
OTHER - HkR,RED HAKE ALL,152
OTHER - HKS,SILVER HAKE ALL,
PLAGMMA,AMERICAN PLAICE ALL,124
POKGMASS,POLLOCK ALL,269
REDGMGBSS,REDFISH ALL,240
WITGMMA,WITCH FLOUNDER ALL,122
WOLGMMA,ATLANTIC WOLFFISH ALL,512
YELCCGM,YELLOWTAIL FLOUNDER CAPE COD AND GULF OF MAINE,123
YELGB,YELLOWTAIL FLOUNDER GEORGES BANK,123
